Country,Ladder Score Rank,Social Support Rank,Seat held in Parliament by Women,Female Enrollment in secondary education (%),"Literacy rate, adult (% ages 15 and older)",Natural resource depletion (% of GNI),Life expectancy at birth,Gross domestic product (GDP) per capita (2011 PPP $),Inequality in income (%),"Suicide rate, female (per 100,000 people)","Suicide rate, male (per 100,000 people)","Mortality Rate (Per 100,000 live births)",Adolescent birth rate (per 1000)
El Salvador,32,83,30.95238095,49.35867,,1,73.1,7393,23.2,4.3,24.8,46,
Cyprus,42,84,17.85714286,0,,0,80.8,33048,14.3,1.9,7.2,6,4.4
Algeria,86,85,25.75757576,0,,9.3,76.7,13886,11.4,1.8,4.9,112,
Jordan,103,86,15.38461538,50.35248,,0.1,74.4,8309,17.9,2.7,4.7,46,
China,81,87,24.89932886,46.94867,,0.9,76.7,16187,27.4,8.3,7.9,29,
Mauritania,112,88,20.26143791,49.71302,,12.4,64.7,3724,24.6,3.6,12.1,766,
Gabon,93,89,0,0,,10.5,66.2,15922,21.2,4.3,15,252,
Nepal,79,90,32.72727273,0,,0.9,70.5,2724,16.3,8,11.4,186,
Myanmar,114,91,10.16166282,51.90363,,2.7,66.9,5922,19.9,9.8,6.3,250,
Lesotho,124,92,22.13114754,0,76.6,5.1,53.7,2865,41.1,32.6,22.7,544,
Botswana,128,93,9.523809524,0,87.7,0.5,69.3,16518,,5.7,18.3,144,50
Cambodia,91,94,20,0,78.1,1,69.6,3870,14.3,3.2,9,160,
Uganda,109,95,34.29844098,0,,14.1,63,1807,24.9,18.7,21.2,375,
Zimbabwe,131,96,31.48148148,0,88.7,3.1,61.2,2688,27,11.1,29.1,458,77.6
Armenia,101,97,18.0952381,47.26682,,2.9,74.9,9178,17.4,2,10.1,26,21.2
Iraq,95,98,25.22796353,0,,10.9,70.5,15565,12.7,3.4,4.7,79,
Ethiopia,117,99,38.75685558,0,,9.4,66.2,1794,13.4,4.7,18.7,401,
Nigeria,100,100,5.555555556,0,,4.4,54.3,5316,28.2,17.1,17.5,917,106
Egypt,119,101,,,,4,71.8,11014,36.5,1.7,7.2,37,59
Mali,99,102,8.843537415,44.48754,,9.5,58.9,2056,15.4,4.7,13.5,562,164
Ghana,78,103,12.72727273,48.54687,,11.4,63.8,4212,25.3,2.9,15.8,308,
Mozambique,104,104,39.6,0,,1.3,60.2,1180,28.4,4.1,14,289,
Senegal,87,105,41.81818182,51.87243,,1,67.7,3356,27.7,5.2,20.3,315,
Burkina Faso,97,106,11.02362205,49.07022,34.6,15,61.2,1756,17.3,9.1,22.4,320,
Liberia,108,107,12.32876712,0,,19.2,63.7,1161,22.7,13,13.8,661,
Kenya,105,108,21.7765043,0,78.7,2.5,66.3,3077,33.1,2.1,9.7,342,
Cameroon,85,109,31.11111111,0,,2.5,58.9,3352,35.9,12.5,26.9,529,
Zambia,122,110,17.96407186,0,,8.3,63.5,3748,48.6,6.2,17.5,213,135
Gambia,98,111,,,,5.7,61.7,1517,31.5,7.3,12.8,597,
Pakistan,61,112,20.23460411,44.01411,57,0.8,67.1,4928,17.2,3.1,3,140,
Tunisia,111,113,31.33640553,0,79,1.6,76.5,11096,18.9,2.2,4.4,43,4
Bangladesh,92,114,20.28571429,52.63983,61.1,0.6,72.3,3879,15.7,6.7,5.5,173,75
Albania,90,115,27.85714286,47.09416,,1.1,78.5,12306,13.2,4.3,7,15,15.9
Madagascar,118,116,19.20529801,50.60593,,0.8,66.7,1453,20.4,3.6,10.5,335,
Guinea,88,117,21.92982456,0,32,13,61.2,2338,17.1,8.4,12.7,576,
Sierra Leone,120,118,12.32876712,0,,12.9,54.3,1425,17.7,14.2,18.2,1120,
Chad,110,119,15.25423729,0,,13.1,54,1746,28.4,13.8,17.1,1140,
Georgia,102,120,16,47.28394,99.6,0.7,73.6,10152,23.6,1.9,12.3,25,36.2
Comoros,115,121,6.060606061,50.78499,,1.8,64.1,2514,56,5.4,17.6,273,
Niger,89,122,16.95906433,0,,11.9,62,932,16.4,6.7,11.5,509,
Haiti,123,123,2.542372881,0,,1.2,63.7,1656,50.4,6.4,18.3,480,
Morocco,84,124,20.50632911,46.56576,,0.3,76.5,7509,21.7,3.6,2.5,70,19
India,125,125,11.80811808,48.05586,,1,69.4,6899,18.8,14.5,18.5,145,
South Sudan,132,126,28.45953003,0,,,57.6,1678,32.3,4.1,8.3,1150,
Togo,116,127,17.58241758,0,,13.4,60.8,1565,25.1,10.9,22.7,396,
Malawi,126,128,16.66666667,49.53251,65.1,8.2,63.8,1163,32.4,3.2,13.7,349,
Rwanda,130,129,61.25,53.156,70.8,5.4,68.7,2003,36.4,6,16.9,248,
Burundi,121,130,36.36363636,52.69295,61.6,15.7,61.2,660,20.9,7.7,23.1,548,
Afghanistan,133,131,0,35.12363,,0.3,64.5,1735,,2.1,10.6,638,62
Benin,75,132,7.228915663,0,,1.8,61.5,2152,32,9.6,22.6,397,
Central African Republic,129,133,8.571428571,0,,0.1,52.8,775,49.2,6,18,829,
Belize,,,9.375,50.58608,,0.5,74.5,7810,37.9,2,9.9,36,64.3
Bolivia (Plurinational State of),,,,,,5.8,71.2,6986,29.7,8.9,16.9,155,
Brunei Darussalam,,,9.090909091,48.99839,,10.9,75.7,71802,,2.8,6.2,31,9.8
Congo (Democratic Republic of the),,,,,,23.2,60.4,827,28.2,4.9,15,,
Czechia,,,,,,0.1,79.2,33414,9.2,4.2,17.2,3,12.1
Eswatini (Kingdom of),,,,,,1.7,59.4,9530,37.9,9.6,25.4,,
Fiji,,,19.60784314,0,,0.8,67.3,9781,,2.5,8.8,34,
Guyana,,,31.88405797,0,85.6,13.3,69.8,7617,25.1,14.2,46.6,169,
Lao People's Democratic Republic,,,,,,6.3,67.6,6614,20.3,6.1,12.9,185,
Micronesia (Federated States of),,,,,,,67.8,3196,26.4,6.2,16.2,88,
North Macedonia,,,38.33333333,0,97.8,1.2,75.7,13483,20.3,3,9.7,7,15.5
Palau,,,12.5,0,,,73.7,17202,,,,,33.8
"Palestine, State of",,,,,96.4,,73.9,4576,16.6,,,,
Papua New Guinea,,,0,0,,14,64.3,3821,,3.8,10.2,145,
Russian Federation,,,15.77777778,0,,5.8,72.4,24791,18.7,7.5,48.3,17,
Samoa,,,10,0,,0,73.2,6089,,2.2,8.7,43,
Seychelles,,,21.21212121,50.63681,,0,73.3,27114,29.3,2.1,15,53,64.4
Solomon Islands,,,2.040816327,0,,20.9,72.8,2142,19.4,3.2,8.5,104,
Tanzania (United Republic of),,,,,,2.2,65,2809,22.4,5.4,14.3,,
Tuvalu,,,6.666666667,51.97429,,,,3593,,,,,
Angola,,,30.45454545,0,66,12.8,60.8,5725,28.9,4.6,14,241,
Andorra,,,32.14285714,48.34921,,,81.8,,,,,,3.6
Antigua and Barbuda,,,11.11111111,48.52342,,,76.9,23768,,0.9,0,42,28.8
Bahamas,,,,,,0,73.8,28705,,0.5,2.8,70,
Barbados,,,20,49.59379,99.6,0,79.1,16839,33.6,0.3,0.8,27,
Bhutan,,,14.89361702,52.01454,,2.7,71.5,9348,20,8.9,13.8,183,
Côte d'Ivoire,,,,,43.9,,57.4,3733,24.4,13,32,,
Congo,,,,,,31.4,64.3,5024,31,5,13.9,378,
Cabo Verde,,,23.61111111,52.22378,,0.5,72.8,6662,,7.7,24.1,58,
Cuba,,,53.2231405,48.99787,,,78.7,,,4.1,16.4,36,52
Djibouti,,,26.15384615,45.12158,,0.7,66.6,,27.7,5.3,11.9,248,
Dominica,,,25,0,,0,78.1,9467,,,,,
Eritrea,,,22,46.72357,,,65.9,,,6.1,22.4,480,
Guinea-Bissau,,,13.7254902,0,45.6,11.4,58,1596,37.9,6.1,8.9,667,
Equatorial Guinea,,,20,0,95,22.9,58.4,20865,,10.8,31.3,301,
Grenada,,,46.66666667,49.77559,98.6,,72.4,13970,,1,2.1,25,
"Hong Kong, China (SAR)",,,,,,,84.7,57322,25.6,,,,
Iran (Islamic Republic of),,,,,84.7,4.6,76.5,19098,19.7,3.1,4.9,16,33.2
Kiribati,,,6.52173913,0,,0,68.1,2035,,5.4,25.9,92,
Saint Kitts and Nevis,,,,,,,74.6,28295,,,,,
Korea (Republic of),,,,,,0,82.8,36777,20.2,11.6,29.6,,
Saint Lucia,,,,,,0,76.1,12344,27.4,2.1,12.7,117,
Liechtenstein,,,12,0,,,80.5,,,,,,
Moldova (Republic of),,,,,,0.2,71.8,6490,14,3.8,24.1,,
Marshall Islands,,,9.090909091,0,,,73.9,3599,,,,,
Oman,,,1.176470588,48.60193,92,18.1,77.6,36831,20.1,0.9,4.8,19,12.8
Qatar,,,9.756097561,48.94687,91.3,7.4,80.1,112532,,1.1,7.3,9,8.5
Sudan,,,30.51643192,0,,2.8,65.1,4436,33,4.6,14.5,295,
Sao Tome and Principe,,,14.54545455,0,,0,70.2,3033,14.9,2.1,4.2,130,
Suriname,,,25.49019608,0,,28.1,71.6,13776,37.3,10.9,36.1,120,56.7
Syrian Arab Republic,,,13.2,0,,,71.8,,,1.1,3.8,31,
Timor-Leste,,,33.84615385,51.32771,,29.7,69.3,6796,13.6,3.7,9,142,
Tonga,,,7.407407407,0,,0,70.8,5696,,2.9,5.2,52,
Saint Vincent and the Grenadines,,,,,,0,72.4,10940,,0.9,3.9,68,52.3
Venezuela (Bolivarian Republic of),,,,,,,72.1,17131,25.2,1.2,6.6,125,
Viet Nam,,,,,,1,75.3,6609,18.1,3.4,10.8,43,
Vanuatu,,,0,0,84.7,0,70.3,2846,19.7,2.7,8.1,72,
World,,,24.09787827,47.9647,,1.1,72.6,15893,23.3,7.4,13.7,211,
